Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
Liminatus Pharma,LIMN,Buy,Filled,500,500,@9.54,9.54,DAY,07/24/2025 07:01:27 EDT,07/24/2025 07:01:27 EDT
Liminatus Pharma,LIMN,Sell,Filled,500,500,@9.71,9.71,DAY,07/24/2025 07:00:28 EDT,07/24/2025 07:00:28 EDT
Liminatus Pharma,LIMN,Sell,Cancelled,0,500,@9.83,,DAY,07/24/2025 07:00:13 EDT,
Liminatus Pharma,LIMN,Buy,Filled,500,500,@9.83,9.83,DAY,07/24/2025 07:00:07 EDT,07/24/2025 07:00:07 EDT
Liminatus Pharma,LIMN,Sell,Filled,500,500,@9.81,9.81,DAY,07/24/2025 06:58:40 EDT,07/24/2025 06:58:40 EDT
Liminatus Pharma,LIMN,Buy,Filled,500,500,@9.50,9.50,DAY,07/24/2025 06:57:56 EDT,07/24/2025 06:57:57 EDT
Liminatus Pharma,LIMN,Buy,Cancelled,0,500,@9.13,,DAY,07/24/2025 06:54:24 EDT,
Liminatus Pharma,LIMN,Sell,Filled,500,500,@8.88,8.88,DAY,07/24/2025 06:53:30 EDT,07/24/2025 06:53:32 EDT
Liminatus Pharma,LIMN,Buy,Filled,500,500,@8.81,8.81,DAY,07/24/2025 06:53:04 EDT,07/24/2025 06:53:06 EDT
Liminatus Pharma,LIMN,Buy,Cancelled,0,500,@8.81,,DAY,07/24/2025 06:52:50 EDT,
Liminatus Pharma,LIMN,Sell,Filled,500,500,@8.91,8.91,DAY,07/24/2025 06:51:48 EDT,07/24/2025 06:51:48 EDT
Liminatus Pharma,LIMN,Buy,Filled,500,500,@9.22,9.22,DAY,07/24/2025 06:51:10 EDT,07/24/2025 06:51:11 EDT
Liminatus Pharma,LIMN,Sell,Filled,500,500,@9.10,9.10,DAY,07/24/2025 06:50:06 EDT,07/24/2025 06:50:06 EDT
Liminatus Pharma,LIMN,Buy,Filled,500,500,@9.29,9.29,DAY,07/24/2025 06:49:55 EDT,07/24/2025 06:49:55 EDT
Liminatus Pharma,LIMN,Sell,Filled,500,500,@8.96,8.96,DAY,07/24/2025 06:48:22 EDT,07/24/2025 06:48:25 EDT
Liminatus Pharma,LIMN,Buy,Filled,500,500,@8.94,8.94,DAY,07/24/2025 06:46:36 EDT,07/24/2025 06:46:36 EDT
Liminatus Pharma,LIMN,Sell,Filled,500,500,@9.02,9.02,DAY,07/24/2025 06:46:02 EDT,07/24/2025 06:46:02 EDT
Liminatus Pharma,LIMN,Buy,Filled,500,500,@9.13,9.13,DAY,07/24/2025 06:45:50 EDT,07/24/2025 06:45:50 EDT
Liminatus Pharma,LIMN,Sell,Filled,50,50,@8.97,8.97,DAY,07/24/2025 06:45:41 EDT,07/24/2025 06:45:42 EDT
Liminatus Pharma,LIMN,Buy,Cancelled,50,500,@8.87,8.87,DAY,07/24/2025 06:45:14 EDT,07/24/2025 06:45:14 EDT
Liminatus Pharma,LIMN,Sell,Filled,200,200,@8.86,8.86,DAY,07/24/2025 06:44:01 EDT,07/24/2025 06:44:01 EDT
Liminatus Pharma,LIMN,Buy,Filled,100,100,@9.36,9.36,DAY,07/24/2025 06:43:46 EDT,07/24/2025 06:43:47 EDT
Liminatus Pharma,LIMN,Buy,Filled,100,100,@9.50,9.50,DAY,07/24/2025 06:43:17 EDT,07/24/2025 06:43:19 EDT
Webull,BULL,Buy,Cancelled,0,500,@18.15,,DAY,07/24/2025 06:28:17 EDT,
Robinhood Markets  Inc.,HOOD,Sell,Filled,400,400,@101.03,101.03,DAY,07/23/2025 09:35:11 EDT,07/23/2025 09:35:11 EDT
Robinhood Markets  Inc.,HOOD,Sell,Filled,100,100,@100.95,100.95,DAY,07/23/2025 09:34:52 EDT,07/23/2025 09:34:52 EDT
Robinhood Markets  Inc.,HOOD,Buy,Filled,500,500,@100.90,100.90,DAY,07/23/2025 09:33:39 EDT,07/23/2025 09:33:39 EDT
Webuy Global,WBUY,Sell,Filled,100,100,@10.17,10.17,DAY,07/23/2025 07:11:50 EDT,07/23/2025 07:11:50 EDT
Webuy Global,WBUY,Sell,Cancelled,0,100,@10.33,,DAY,07/23/2025 07:11:03 EDT,
Webuy Global,WBUY,Buy,Filled,100,100,@10.44,10.44,DAY,07/23/2025 07:10:52 EDT,07/23/2025 07:10:52 EDT
Webuy Global,WBUY,Sell,Filled,100,100,@10.79,10.79,DAY,07/23/2025 07:06:01 EDT,07/23/2025 07:06:01 EDT
Webuy Global,WBUY,Buy,Filled,100,100,@10.88,10.88,DAY,07/23/2025 07:05:26 EDT,07/23/2025 07:05:26 EDT
Webuy Global,WBUY,Sell,Filled,500,500,@12.14,12.14,DAY,07/23/2025 07:04:07 EDT,07/23/2025 07:04:07 EDT
Webuy Global,WBUY,Buy,Filled,500,500,@11.62,11.62,DAY,07/23/2025 07:03:50 EDT,07/23/2025 07:03:50 EDT
Webuy Global,WBUY,Sell,Filled,100,100,@11.79,11.79,DAY,07/23/2025 07:03:12 EDT,07/23/2025 07:03:12 EDT
Webuy Global,WBUY,Sell,Cancelled,0,100,@12.18,,DAY,07/23/2025 07:03:06 EDT,
Webuy Global,WBUY,Buy,Filled,100,100,@11.45,11.45,DAY,07/23/2025 07:02:53 EDT,07/23/2025 07:02:53 EDT
OFA Group,OFAL,Buy,Cancelled,0,100,@2.68,,DAY,07/23/2025 06:59:55 EDT,
OFA Group,OFAL,Sell,Filled,100,100,@2.74,2.74,DAY,07/23/2025 06:53:24 EDT,07/23/2025 06:53:24 EDT
OFA Group,OFAL,Buy,Filled,100,100,@2.87,2.87,DAY,07/23/2025 06:48:39 EDT,07/23/2025 06:48:39 EDT
